Song_Name,Album_name,Artist_name,Album_album_type,Album_id,Album_image,Album_label,Album_popularity,Album_release,Album_total_tracks,Artist_followers,Artist_genres,Artist_id,Artist_images,Artist_popularity,Song_Explicit,Song_Top_Tags_lfm,Song_acousticness,Song_danceability,Song_duration_ms,Song_energy,Song_id,Song_instrumentalness,Song_key,Song_liveness,Song_loudness,Song_mode,Song_popularity,Song_speechiness,Song_tempo,Song_time_signature,Song_track_number,Song_valence,Artist_image
Desbloqueado,Repertório Atualizado: Agosto 2021,Kevi Jonny,single,2THXImQHj4gQ1a4gUXM73i,https://i.scdn.co/image/ab67616d0000b27312a5e5cfe2dcc0b7b605ac7c,Kevi Jonny,49,2021-09-04,10,216444,"['arrocha', 'forro', 'sertanejo pop']",3PVg0vaMUNTOu7C2GmYfSg,,59,False,,0.493,0.647,206688,0.686,648W40ylpyIDCjuPHnEpBW,0.0,9,0.293,-3.822,1,46,0.066,139.89,4,3,0.745,https://i.scdn.co/image/ab6761610000e5eb6c9573fa7553b48fdc2daafb
Traseira Cometa,Traseira Cometa,Leo Santana,single,25ob6DOC2Ko4K3qsm8nPjL,https://i.scdn.co/image/ab67616d0000b2730337dc7b9f755fd1ec6c3a18,Universal Music Ltda.,46,2021-09-10,1,1455227,"['arrocha', 'axe', 'funk carioca', 'pagode', 'pagode baiano', 'pop nacional']",7KVJCU4z5L4EUHILL8aMxR,,70,False,,0.417,0.909,190820,0.903,6RsRuWwGldW23wukriIt05,7.01e-06,1,0.0786,-4.46,1,53,0.0849,122.017,4,1,0.894,https://i.scdn.co/image/ab6761610000e5ebcd86097bdd777dfd05013575
Me Bota Amor,Me Bota Amor,BANDA O MANDRAKE,single,1qMAut6jU0N82C4zPM7Xpf,https://i.scdn.co/image/ab67616d0000b2736b54dd6d97237a2f39641ca2,BALA PRODUÇÕES,30,2021-05-27,1,8887,['pagode baiano'],0EGzaXV1C0LMR6SYay7VBb,,30,True,,0.172,0.928,116136,0.495,7zd9v5m47K4VDbBapA8pO3,0.00158,8,0.116,-10.208,0,37,0.197,100.014,4,1,0.626,https://i.scdn.co/image/ab67616d0000b2731498f8cd06e63c7346f47b06
Quebra,Quebra,Rafa Lira,single,5Owxg8UjwllXtsRzwfhcZ0,https://i.scdn.co/image/ab67616d0000b273709fc0cea03027a33b2bccc1,Rafa Lira [dist. Tratore],12,2021-09-28,1,239,[],3jhxxQWGELBBfYwqvJwQ5l,,25,False,,0.154,0.856,196172,0.792,1o8Mv4M5QZJzdA5Gp5fy7G,0.0139,6,0.493,-5.496,0,18,0.0435,130.345,4,1,0.779,https://i.scdn.co/image/ab6761610000e5eb85ac860a75f70cb97a5d2d97
Hoje Tive Um Sonho Com Vc,Hoje Tive Um Sonho Com Vc,O Maggo,single,6qfHcadqpRte3wTEALO75B,https://i.scdn.co/image/ab67616d0000b27321a0d37cbef6bd399a01f02c,O Maggo,32,2021-01-11,1,15109,['pagode baiano'],33NobqTx4is0UfeKL2UAi5,,31,True,,0.303,0.76,115096,0.843,3qVdo2le6U4miej1av6tRA,0.00601,4,0.172,-2.863,0,39,0.0464,98.025,4,1,0.645,https://i.scdn.co/image/ab6761610000e5ebbc9b555a0c8acf0ff591b95d
Naipe de Vagabundo,Naipe de Vagabundo,Gibi8,single,0i0BUXbWjTWjYUItRj4h3v,https://i.scdn.co/image/ab67616d0000b273458238bfda60948e24422ecb,MUNDO,34,2021-05-20,1,842,[],0PzUD5dHBctrkQopnjcHMO,,30,True,,0.477,0.814,169744,0.705,0jLk8JLejAO2Dq7igx80P8,0.0,11,0.112,-7.667,1,41,0.229,117.072,4,1,0.607,https://i.scdn.co/image/ab6761610000e5ebebb4e91ee71cccfdb4c1902d
157 Cafajeste,157 Cafajeste,A TARRAXADA,single,6t7knEXXK7ZmTiAT9dQu1S,https://i.scdn.co/image/ab67616d0000b273bf237b55cfc3291441eab9bc,Coutoplay,38,2021-09-23,1,23596,['arrochadeira'],4HtfexBbNZWK3WFCDA8mPt,,45,True,,0.0551,0.869,126538,0.871,6yq8JzmFMdTB0ppI7vaBH3,0.385,6,0.143,-0.001,1,44,0.0599,129.998,4,1,0.862,https://i.scdn.co/image/ab6761610000e5eb1c4ff2caf9412fa7e566f068
"Se Deu Sol, É Mar!","Se Deu Sol, É Mar!",O Maestro,single,77E6fbpI0myY45jtkCi7F7,https://i.scdn.co/image/ab67616d0000b273c47f5c2d4a97f52ce9549b68,O Maestro,35,2020-09-25,1,24941,['pagode baiano'],3TLymZgzXpRnIeUGreG8ZV,,36,False,,0.711,0.732,254256,0.789,3x4qX4fJ0QZLtItx6r5dyt,0.0,11,0.504,-3.722,0,42,0.123,106.229,4,1,0.792,https://i.scdn.co/image/ab6761610000e5ebe600d965c06364ab08da9444
Desliza Senta no Pula Pula - Ao Vivo,Ao Vivo na Arena Boa Vista 2020,Bailão do Robyssão,album,5EM1MCWdDzpa4QaKzaUFbL,https://i.scdn.co/image/ab67616d0000b2736a1a384f2a1149e968ae4986,Mídias Nordeste Digital,40,2019-11-12,28,41550,['pagode baiano'],4IQ5LvAx2fen3TevjUoFOH,,32,False,,0.654,0.723,108072,0.901,3cnt01s2ONigIzTgkDSM6C,0.29,9,0.151,-2.814,0,38,0.0353,135.202,4,13,0.956,https://i.scdn.co/image/ab67616d0000b2736a1a384f2a1149e968ae4986
Me Apaixonei (feat. Mc Magrela),Proibidinho 4.0,O escoces,album,2Zj1YsT3eKauctPM2ACkiL,https://i.scdn.co/image/ab67616d0000b273ec7a177ce0b7284bcdb4148d,GRAVOmusic,43,2021-07-30,7,21063,['arrochadeira'],0KI6VYK1OKKMd0ZeH1cWHk,,37,False,,0.492,0.973,166060,0.503,1KtzO6fJEU3QoXMy2nAeKp,0.00359,10,0.0667,-3.576,1,44,0.0936,121.022,4,6,0.605,https://i.scdn.co/image/ab67616d0000b273ec7a177ce0b7284bcdb4148d
